srcIata,dstIata, flights ,stage, duration 
GMP,CJU,107,279,1
CJU,GMP,107,279,1
MEL,SYD,70,439,1
SYD,MEL,69,439,1
RUH,JED,65,530,1
JED,RUH,65,530,1
HAN,SGN,62,717,2
SGN,HAN,61,717,2
HND,FUK,57,548,1
FUK,HND,57,548,1
CTS,HND,54,510,1
HND,CTS,54,510,1
BOM,DEL,54,706,2
DEL,BOM,54,706,2
CGH,SDU,52,228,1
SDU,CGH,52,228,1
JNB,CPT,45,789,2
CPT,JNB,45,789,2
DPS,CGK,43,611,1
SXM,SBH,42,20,1
SBH,SXM,42,20,1
CGK,DPS,42,611,1
SHA,SZX,41,750,2
SZX,SHA,41,750,2
MDE,BOG,41,133,1
BOG,MDE,41,133,1
BNE,SYD,40,466,1
SYD,BNE,40,466,1
DEL,BLR,39,1058,2
BLR,DEL,39,1058,2
SIN,KUL,38,184,1
KUL,SIN,38,184,1
TPE,HKG,38,501,1
HKG,TPE,38,501,1
ANC,ENA,37,60,1
PEK,SHA,36,667,1
SHA,PEK,36,667,1
SHA,CAN,36,730,2
CAN,SHA,36,730,2
OKA,HND,36,965,2
ENA,ANC,36,60,1
HND,OKA,36,965,2
CAI,JED,35,756,2
JED,CAI,35,756,2
BOG,CLO,35,174,1
CLO,BOG,35,174,1
CEB,MNL,35,351,1
MNL,CEB,35,351,1
SVO,LED,34,372,1
LED,SVO,34,372,1
MEL,BNE,34,857,2
BNE,MEL,34,857,2
BZE,SPR,33,34,1
SFO,LAX,33,337,1
LAX,SFO,33,337,1
KIX,ICN,33,536,1
ICN,KIX,33,536,1
HAN,DAD,32,389,1
HGH,CAN,32,645,1
DAD,SGN,32,374,1
DAD,HAN,32,389,1
CAN,HGH,32,645,1
CGK,SIN,32,546,1
SIN,CGK,32,546,1
SGN,DAD,32,374,1
DUR,JNB,32,297,1
JNB,DUR,32,297,1
CGK,SUB,32,430,1
LGA,ORD,32,733,2
ORD,LGA,32,733,2
LIM,CUZ,32,363,1
CUZ,LIM,32,363,1
ZNZ,DAR,31,45,1
SUB,CGK,31,430,1
BOM,BLR,31,517,1
BLR,BOM,31,517,1
UPG,CGK,31,891,2
CGK,UPG,31,891,2
NRT,ICN,30,784,2
ICN,NRT,30,784,2
HND,ITM,30,250,1
ITM,HND,30,250,1
CGK,KNO,30,859,2
KNO,CGK,30,859,2
HNL,OGG,29,101,1
OGG,HNL,29,101,1
RUH,DXB,29,543,1
DXB,RUH,29,543,1
SPR,BZE,29,34,1
HGH,SZX,29,665,1
SZX,HGH,29,665,1
CTG,BOG,28,405,1
BOG,CTG,28,405,1
HKT,BKK,28,418,1
PEK,SZX,28,1212,3
SZX,PEK,28,1212,3
ABV,LOS,28,317,1
LAS,LAX,28,236,1
JFK,LAX,28,2475,6
LAX,JFK,28,2475,6
LAX,LAS,28,236,1
CGK,KUL,28,699,2
KUL,CGK,28,699,2
LOS,ABV,27,317,1
BKK,HKT,27,418,1
KTM,PKR,27,91,1
PKR,KTM,27,91,1
YVR,YYC,27,428,1
YYC,YVR,27,428,1
KIX,PVG,27,815,2
PVG,KIX,27,815,2
DMK,CNX,26,351,1
BKI,KUL,26,1013,2
KUL,BKI,26,1013,2
CKG,SZX,26,660,1
SZX,CKG,26,660,1
CNX,DMK,26,351,1
MEX,MTY,26,442,1
MTY,MEX,26,442,1
YWH,CXH,26,47,1
DEL,HYD,26,785,2
HYD,DEL,26,785,2
CXH,YWH,26,47,1
CTU,PEK,25,967,2
PEK,CTU,25,967,2
CUN,MEX,25,800,2
MEX,CUN,25,800,2
YYZ,YVR,25,2085,5
YVR,YYZ,25,2085,5
BOS,DCA,25,399,1
DCA,BOS,25,399,1
PHX,DEN,25,602,1
DEN,PHX,25,602,1
BSB,CGH,25,540,1
CGH,BSB,25,540,1
HKT,DMK,24,428,1
CAN,PKX,24,1125,3
PKX,CAN,24,1125,3
LPA,TFN,24,69,1
TFN,LPA,24,69,1
DMK,HKT,24,428,1
USM,BKK,24,289,1
BKK,USM,24,289,1
BKK,CNX,24,368,1
MNL,MPH,24,188,1
MPH,MNL,24,188,1
CKG,CAN,23,600,1
CAN,CKG,23,600,1
FUK,ICN,23,350,1
ICN,FUK,23,350,1
DMM,JED,23,748,2
JED,DMM,23,748,2
YYC,YYZ,23,1676,4
YYZ,YYC,23,1676,4
SZX,CTU,23,819,2
ALA,NQZ,23,591,1
FUK,OKA,23,536,1
OKA,FUK,23,536,1
DEL,PNQ,23,716,2
KUL,KCH,23,603,1
KCH,KUL,23,603,1
AKL,CHC,23,463,1
PNQ,DEL,23,716,2
CCU,DEL,23,817,2
NQZ,ALA,23,591,1
VKO,LED,23,389,1
CNF,CGH,23,325,1
